ImageID,detectorType,descriptorType,numMatchedKpts,cameraTTC
4,HARRIS,BRIEF,27,48.3259
5,HARRIS,BRIEF,30,15.1782
8,HARRIS,BRIEF,37,12.8679
9,HARRIS,BRIEF,30,12.8381
10,HARRIS,BRIEF,34,12.0618
11,HARRIS,BRIEF,32,12.2281
12,HARRIS,BRIEF,31,12.9701
13,HARRIS,BRIEF,34,5.86046
14,HARRIS,BRIEF,29,11.6511
16,HARRIS,BRIEF,29,10.6504
17,HARRIS,BRIEF,19,6.95035
18,HARRIS,BRIEF,24,13.436
1,HARRIS,ORB,18,9.43336
2,HARRIS,ORB,22,14.0787
3,HARRIS,ORB,30,30.0042
4,HARRIS,ORB,21,78.2217
5,HARRIS,ORB,27,15.1782
7,HARRIS,ORB,25,11.1027
8,HARRIS,ORB,37,12.479
9,HARRIS,ORB,32,12.0016
10,HARRIS,ORB,26,11.7682
11,HARRIS,ORB,30,11.2893
12,HARRIS,ORB,32,12.0152
13,HARRIS,ORB,28,5.64633
14,HARRIS,ORB,26,11.5854
16,HARRIS,ORB,26,11.1692
17,HARRIS,ORB,17,6.84317
18,HARRIS,ORB,22,14.0723
0,HARRIS,FREAK,-,-
1,HARRIS,FREAK,8,12.0632
2,HARRIS,FREAK,18,13.4141
3,HARRIS,FREAK,18,21.8164
4,HARRIS,FREAK,20,13.4119
7,HARRIS,FREAK,23,12.9474
8,HARRIS,FREAK,33,11.9
9,HARRIS,FREAK,28,12.6057
10,HARRIS,FREAK,24,11.6995
11,HARRIS,FREAK,26,12.1188
12,HARRIS,FREAK,24,11.2612
13,HARRIS,FREAK,24,8.75737
14,HARRIS,FREAK,23,10.4789
16,HARRIS,FREAK,23,11.6525
17,HARRIS,FREAK,17,6.95039
18,HARRIS,FREAK,22,13.7898
0,HARRIS,SIFT,-,-
1,HARRIS,SIFT,27,10.882
2,HARRIS,SIFT,30,13.8033
3,HARRIS,SIFT,35,20.4384
4,HARRIS,SIFT,29,48.3259
7,HARRIS,SIFT,37,10.9588
8,HARRIS,SIFT,37,12.479
9,HARRIS,SIFT,37,12.5201
10,HARRIS,SIFT,37,11.9434
11,HARRIS,SIFT,39,12.1188
12,HARRIS,SIFT,33,12.0152
13,HARRIS,SIFT,37,7.53081
14,HARRIS,SIFT,32,11.5854
17,HARRIS,SIFT,31,6.89882
18,HARRIS,SIFT,33,13.7898
0,HARRIS,AKAZE,-,-
1,HARRIS,AKAZE,-,-
2,HARRIS,AKAZE,-,-
3,HARRIS,AKAZE,-,-
4,HARRIS,AKAZE,-,-
5,HARRIS,AKAZE,-,-
6,HARRIS,AKAZE,-,-
7,HARRIS,AKAZE,-,-
8,HARRIS,AKAZE,-,-
9,HARRIS,AKAZE,-,-
10,HARRIS,AKAZE,-,-
11,HARRIS,AKAZE,-,-
12,HARRIS,AKAZE,-,-
13,HARRIS,AKAZE,-,-
14,HARRIS,AKAZE,-,-
15,HARRIS,AKAZE,-,-
16,HARRIS,AKAZE,-,-
17,HARRIS,AKAZE,-,-
18,HARRIS,AKAZE,-,-
1,SIFT,BRISK,108,12.5956
2,SIFT,BRISK,118,13.5929
3,SIFT,BRISK,154,13.808
4,SIFT,BRISK,129,19.2243
5,SIFT,BRISK,109,15.9362
8,SIFT,BRISK,152,15.3135
9,SIFT,BRISK,142,13.828
10,SIFT,BRISK,123,11.9267
12,SIFT,BRISK,116,10.5143
13,SIFT,BRISK,115,10.1432
14,SIFT,BRISK,136,9.26168
15,SIFT,BRISK,115,9.48609
16,SIFT,BRISK,135,8.80794
17,SIFT,BRISK,110,9.36581
18,SIFT,BRISK,105,9.54462
0,SIFT,BRIEF,-,-
1,SIFT,BRIEF,116,12.0158
2,SIFT,BRIEF,122,14.3066
3,SIFT,BRIEF,140,15.0878
4,SIFT,BRIEF,143,22.1892
5,SIFT,BRIEF,124,16.0606
6,SIFT,BRIEF,147,11.7616
7,SIFT,BRIEF,161,14.6572
8,SIFT,BRIEF,151,15.7418
9,SIFT,BRIEF,164,12.1097
10,SIFT,BRIEF,116,10.7572
12,SIFT,BRIEF,133,10.8184
13,SIFT,BRIEF,130,9.13441
14,SIFT,BRIEF,133,9.82465
15,SIFT,BRIEF,125,9.64451
16,SIFT,BRIEF,137,8.27152
17,SIFT,BRIEF,103,8.86006
18,SIFT,BRIEF,100,9.60669
0,SIFT,ORB,-,-
1,SIFT,ORB,-,-
2,SIFT,ORB,-,-
3,SIFT,ORB,-,-
4,SIFT,ORB,-,-
5,SIFT,ORB,-,-
6,SIFT,ORB,-,-
7,SIFT,ORB,-,-
8,SIFT,ORB,-,-
9,SIFT,ORB,-,-
10,SIFT,ORB,-,-
11,SIFT,ORB,-,-
12,SIFT,ORB,-,-
13,SIFT,ORB,-,-
14,SIFT,ORB,-,-
15,SIFT,ORB,-,-
16,SIFT,ORB,-,-
17,SIFT,ORB,-,-
18,SIFT,ORB,-,-
1,SIFT,FREAK,86,13.3456
2,SIFT,FREAK,91,12.6108
3,SIFT,FREAK,109,14.5496
4,SIFT,FREAK,106,17.564
5,SIFT,FREAK,86,16.0104
6,SIFT,FREAK,100,11.8865
8,SIFT,FREAK,113,14.852
9,SIFT,FREAK,109,15.5448
10,SIFT,FREAK,102,11.8289
11,SIFT,FREAK,73,13.845
12,SIFT,FREAK,87,10.6682
13,SIFT,FREAK,72,9.28098
14,SIFT,FREAK,77,11.7327
15,SIFT,FREAK,93,9.97157
16,SIFT,FREAK,99,8.47477
17,SIFT,FREAK,79,9.19628
18,SIFT,FREAK,75,11.6288
0,SIFT,SIFT,-,-
1,SIFT,SIFT,172,11.3064
2,SIFT,SIFT,167,12.4225
3,SIFT,SIFT,193,12.8172
4,SIFT,SIFT,178,18.6027
6,SIFT,SIFT,186,11.4814
8,SIFT,SIFT,204,14.2041
9,SIFT,SIFT,223,12.9376
10,SIFT,SIFT,175,10.7065
12,SIFT,SIFT,190,11.2921
13,SIFT,SIFT,189,9.24606
14,SIFT,SIFT,185,9.8399
15,SIFT,SIFT,189,10.1418
16,SIFT,SIFT,193,8.87244
17,SIFT,SIFT,164,8.61576
18,SIFT,SIFT,166,8.78133
0,SIFT,AKAZE,-,-
1,SIFT,AKAZE,-,-
2,SIFT,AKAZE,-,-
3,SIFT,AKAZE,-,-
4,SIFT,AKAZE,-,-
5,SIFT,AKAZE,-,-
6,SIFT,AKAZE,-,-
7,SIFT,AKAZE,-,-
8,SIFT,AKAZE,-,-
9,SIFT,AKAZE,-,-
10,SIFT,AKAZE,-,-
11,SIFT,AKAZE,-,-
12,SIFT,AKAZE,-,-
13,SIFT,AKAZE,-,-
14,SIFT,AKAZE,-,-
15,SIFT,AKAZE,-,-
16,SIFT,AKAZE,-,-
17,SIFT,AKAZE,-,-
18,SIFT,AKAZE,-,-
1,FAST,BRISK,79,12.4419
2,FAST,BRISK,105,12.5287
3,FAST,BRISK,114,13.196
4,FAST,BRISK,111,13.0971
5,FAST,BRISK,77,39.1142
6,FAST,BRISK,114,13.2723
7,FAST,BRISK,128,12.352
8,FAST,BRISK,122,11.6972
9,FAST,BRISK,138,12.1675
11,FAST,BRISK,94,12.7278
12,FAST,BRISK,156,12.3725
13,FAST,BRISK,154,12.313
14,FAST,BRISK,149,12.0531
15,FAST,BRISK,136,11.5209
16,FAST,BRISK,141,12.305
17,FAST,BRISK,141,10.5959
18,FAST,BRISK,137,12.024
0,FAST,BRIEF,-,-
1,FAST,BRIEF,123,11.0747
2,FAST,BRIEF,144,11.9441
3,FAST,BRIEF,148,13.752
4,FAST,BRIEF,129,13.1664
5,FAST,BRIEF,126,18.7614
6,FAST,BRIEF,135,13.3674
7,FAST,BRIEF,147,11.2292
8,FAST,BRIEF,158,11.0014
9,FAST,BRIEF,163,11.9506
10,FAST,BRIEF,147,13.417
11,FAST,BRIEF,140,13.7363
12,FAST,BRIEF,167,10.9512
13,FAST,BRIEF,184,11.6117
14,FAST,BRIEF,164,10.8147
15,FAST,BRIEF,167,10.9806
16,FAST,BRIEF,181,12.2764
17,FAST,BRIEF,164,7.5105
18,FAST,BRIEF,158,10.9304
1,FAST,ORB,97,10.5735
2,FAST,ORB,128,12.4285
3,FAST,ORB,128,18.4206
4,FAST,ORB,119,13.4608
5,FAST,ORB,116,12.9794
6,FAST,ORB,133,12.6145
7,FAST,ORB,149,11.3028
8,FAST,ORB,142,11.592
9,FAST,ORB,153,11.4639
10,FAST,ORB,133,13.1872
11,FAST,ORB,125,14.4111
12,FAST,ORB,151,13.0068
13,FAST,ORB,161,12.1502
14,FAST,ORB,151,11.4732
15,FAST,ORB,141,12.2033
16,FAST,ORB,153,11.5257
17,FAST,ORB,132,10.808
18,FAST,ORB,127,10.8743
0,FAST,FREAK,-,-
1,FAST,FREAK,58,12.2019
2,FAST,FREAK,84,11.9409
3,FAST,FREAK,89,10.8113
5,FAST,FREAK,57,7.29605
7,FAST,FREAK,102,11.9907
8,FAST,FREAK,83,12.0848
9,FAST,FREAK,105,12.4822
10,FAST,FREAK,94,13.3277
11,FAST,FREAK,80,12.8024
12,FAST,FREAK,115,12.9578
13,FAST,FREAK,106,12.5287
14,FAST,FREAK,85,12.1009
15,FAST,FREAK,66,11.0408
16,FAST,FREAK,98,11.607
17,FAST,FREAK,81,10.6199
18,FAST,FREAK,67,11.1352
0,FAST,SIFT,-,-
1,FAST,SIFT,160,11.3402
2,FAST,SIFT,196,12.3534
3,FAST,SIFT,184,14.751
4,FAST,SIFT,199,13.9805
5,FAST,SIFT,178,26.3632
6,FAST,SIFT,187,13.1432
7,FAST,SIFT,188,12.0848
8,FAST,SIFT,186,12.5287
9,FAST,SIFT,185,12.8711
10,FAST,SIFT,208,13.6889
11,FAST,SIFT,165,14.6528
12,FAST,SIFT,216,11.7459
13,FAST,SIFT,223,12.4311
14,FAST,SIFT,202,11.4157
15,FAST,SIFT,219,11.0579
16,FAST,SIFT,211,11.5078
17,FAST,SIFT,218,7.86725
